seed,window,prominence,dominant_hz
11,0,9.86514438182,0.604838709677
11,1,9.86514438182,0.604838709677
11,2,15.918684227,2.87298387097
11,3,20.8495741162,0.806451612903
11,4,10.4060964319,2.87298387097
11,5,18.8795413159,2.3689516129
11,6,7.40127701538,3.125
11,7,9.86514438182,0.604838709677
11,8,9.86514438182,0.604838709677
11,9,7.69255593611,1.51209677419
11,10,7.69255593611,1.51209677419
11,11,10.2354171282,2.16733870968
11,12,12.6525678529,2.57056451613
11,13,20.5955992357,3.125
11,14,11.5894035898,2.57056451613
11,15,11.5894035898,2.57056451613
11,16,8.39213450448,1.20967741935
11,17,7.69255593611,1.51209677419
11,18,20.7621881724,1.46169354839
11,19,27.6778373722,1.5625
11,20,20.5955992357,3.125
11,21,11.5894035898,2.57056451613
11,22,8.50004038274,1.20967741935
11,23,8.50004038274,1.20967741935
11,24,15.844195477,0.907258064516
11,25,13.748852971,0.907258064516
11,26,27.6778373722,1.5625
11,27,23.0222660235,1.05846774194
11,28,10.3530056125,2.57056451613
11,29,8.50004038274,1.20967741935
11,30,8.50004038274,1.20967741935
11,31,15.844195477,0.907258064516
11,32,13.748852971,0.907258064516
11,33,18.8875187235,0.957661290323
11,34,18.8875187235,0.957661290323
11,35,10.7639695827,2.3185483871
11,36,22.4109203734,2.01612903226
11,37,22.4109203734,2.01612903226
11,38,23.8013157101,1.05846774194
11,39,14.2982348865,2.72177419355
11,40,33.0085354764,0.554435483871
11,41,33.0085354764,0.554435483871
11,42,10.9953572697,0.151209677419
11,43,8.64618100136,1.91532258065
11,44,13.015619166,1.66330645161
11,45,13.015619166,1.66330645161
11,46,12.1726422618,2.72177419355
11,47,33.0085354764,0.554435483871
11,48,33.0085354764,0.554435483871
13,0,20.1310551405,1.00806451613
13,1,16.5827209207,1.76411290323
13,2,16.460194632,2.92338709677
13,3,11.272780162,0.252016129032
13,4,11.272780162,0.252016129032
13,5,16.1392439849,2.46975806452
13,6,16.1392439849,2.46975806452
13,7,5.71234696252,1.51209677419
13,8,5.71234696252,1.51209677419
13,9,16.460194632,2.92338709677
13,10,11.272780162,0.252016129032
13,11,11.272780162,0.252016129032
13,12,9.84881726919,1.61290322581
13,13,16.1392439849,2.46975806452
13,14,13.1349513842,1.31048387097
13,15,19.4037614756,0.352822580645
13,16,19.4037614756,0.352822580645
13,17,9.48337902519,1.05846774194
13,18,9.48337902519,1.05846774194
13,19,7.98245218905,1.26008064516
13,20,12.2521835382,1.05846774194
13,21,17.2041728781,0.907258064516
13,22,19.4037614756,0.352822580645
13,23,19.4037614756,0.352822580645
13,24,7.07401945386,2.21774193548
13,25,7.98245218905,1.26008064516
13,26,7.98245218905,1.26008064516
13,27,9.77802142453,1.05846774194
13,28,17.2041728781,0.907258064516
13,29,15.6847096074,0.352822580645
13,30,20.0575631999,2.3689516129
13,31,20.0575631999,2.3689516129
13,32,7.07401945386,2.21774193548
13,33,11.7264736659,2.92338709677
13,34,9.77802142453,1.05846774194
13,35,13.1404705833,2.26814516129
13,36,16.3351432339,2.21774193548
13,37,20.0575631999,2.3689516129
13,38,20.0575631999,2.3689516129
13,39,12.572087287,2.41935483871
13,40,7.89888827481,0.806451612903
13,41,19.9011508276,2.57056451613
13,42,13.1404705833,2.26814516129
13,43,16.3351432339,2.21774193548
13,44,15.819141066,2.3689516129
13,45,15.819141066,2.3689516129
13,46,10.2073137388,0.151209677419
13,47,7.89888827481,0.806451612903
13,48,19.9011508276,2.57056451613
17,0,10.6618116515,2.11693548387
17,1,8.52959679746,2.97379032258
17,2,14.2319437403,0.806451612903
17,3,14.2319437403,0.806451612903
17,4,11.7473309388,2.67137096774
17,5,7.14588323277,0.756048387097
17,6,10.0354976697,1.96572580645
17,7,7.75646373479,1.5625
17,8,7.75646373479,1.5625
17,9,11.2442154302,2.77217741935
17,10,11.2442154302,2.77217741935
17,11,11.7473309388,2.67137096774
17,12,31.2620350235,3.07459677419
17,13,32.8365814831,0.252016129032
17,14,10.6347026942,1.20967741935
17,15,11.5384229556,1.20967741935
17,16,11.5384229556,1.20967741935
17,17,4.42384587454,2.77217741935
17,18,8.73252418219,1.31048387097
17,19,31.2620350235,3.07459677419
17,20,10.7403143163,2.92338709677
17,21,10.6347026942,1.20967741935
17,22,11.5384229556,1.20967741935
17,23,11.5384229556,1.20967741935
17,24,12.8638360332,1.81451612903
17,25,12.8638360332,1.81451612903
17,26,14.5708877215,2.77217741935
17,27,10.7403143163,2.92338709677
17,28,6.56783992651,2.52016129032
17,29,11.3093861521,1.20967741935
17,30,11.3093861521,1.20967741935
17,31,12.8638360332,1.81451612903
17,32,5.24469815609,0.453629032258
17,33,12.5341241338,0.957661290323
17,34,12.5341241338,0.957661290323
17,35,9.82061727646,2.11693548387
17,36,9.46735267833,1.66330645161
17,37,9.46735267833,1.66330645161
17,38,17.372624789,1.36088709677
17,39,5.24469815609,0.453629032258
17,40,12.5341241338,0.957661290323
17,41,12.5341241338,0.957661290323
17,42,9.54337676118,3.02419354839
17,43,15.2089037475,2.57056451613
17,44,15.2089037475,2.57056451613
17,45,6.69359962644,1.36088709677
17,46,6.69359962644,1.36088709677
17,47,13.4434425876,0.957661290323
17,48,13.4434425876,0.957661290323
19,0,17.5068846332,1.31048387097
19,1,17.5068846332,1.31048387097
19,2,34.0592734597,0.806451612903
19,3,7.14298899835,1.66330645161
19,4,7.14298899835,1.66330645161
19,5,9.29069121766,1.20967741935
19,6,9.29069121766,1.20967741935
19,7,17.5068846332,1.31048387097
19,8,17.5068846332,1.31048387097
19,9,16.5076748273,1.31048387097
19,10,13.1259738239,2.87298387097
19,11,13.1259738239,2.87298387097
19,12,9.29069121766,1.20967741935
19,13,9.29069121766,1.20967741935
19,14,11.9011812927,1.31048387097
19,15,7.28323193914,1.31048387097
19,16,8.89506516485,2.21774193548
19,17,13.1259738239,2.87298387097
19,18,13.1259738239,2.87298387097
19,19,7.45394851513,1.20967741935
